id,name,album,release_date,popularity,groovy_factor,raw_energy
22OTrlQy1sXdtdo1VgDUZb,I Just Want To See His Face,Exile On Main Street (2010 Re-Mastered),1972-05-12,36,0.573558,0.08348621120000001
3JZllQBsTM6WwoJdzFDLhx,Tell Me,The Rolling Stones,1964-04-16,36,0.227014,0.3070590268
7oLIJvY8IUSmjfXdUvn3ru,Heart Of Stone - Stereo Version / Remastered 2002,"The Rolling Stones, Now!",1965-02-13,36,0.33058899999999997,0.04816387291666666
25aTcw734DDdb78Av3xz4B,Midnight Rambler - Remastered 2019,Let It Bleed (50th Anniversary Edition / Remastered 2019),1969-12-05,36,0.261919,0.15493666778333332
0l49BLiXUhHD2A92ONuQ7k,Doncha Bother Me,Aftermath,1966-04-15,36,0.42595200000000005,0.07266033133333334
4VeenLChnVtXj5ZXPfGUZh,She Smiled Sweetly,Between The Buttons (UK Version),1967-01-20,36,0.075936,0.02860564226666667
0SpNlEAUqNsuij5xi7Z7cQ,Black Limousine - Remastered,Tattoo You (2009 Re-Mastered),1981-08-24,36,0.444059,0.5245073284
47eWF81LJRr4jW3lO1FuYJ,My Girl,Flowers,1967-06-26,36,0.43055899999999997,0.1653344595
6DjtOcS3xQO8LETk8O4qgE,Tumbling Dice,Exile On Main Street (Deluxe Version),1972-05-12,36,0.47355,0.23760573200000004
1ibeJPfM8Q3LccjV6oI6S1,Brown Sugar - 2009 Remaster,Sticky Fingers (Deluxe),1971-04-23,36,0.609579,0.051980761279999996
657o30OsXhfnfi3IoWHprm,Ain't Too Proud To Beg - Remastered,It's Only Rock 'N' Roll (2009 Re-Mastered),1974-10-18,36,0.522732,0.35544607250000004
7EavTa2ie6Ynz7tX8uTeTt,Melody - Remastered,Black And Blue (Remastered 2009),1976-04-23,36,0.377118,0.10954152916666667
28AMofKZekNPVodD2ULKwD,Can't Be Seen - Remastered,Steel Wheels (Remastered 2009),1989-08-29,36,0.439569,0.31650644025
1XYnzNHGG50lDNHVotRkyX,Mercy Mercy - Remastered 2002,Out Of Our Heads,1965-07-30,36,0.44225,0.045473298796666665
0UeKMKb98sqhKhbKYdCxf4,The Spider And The Fly - Remastered 2002,Out Of Our Heads,1965-07-30,36,0.679023,0.043966540400000004
5q4rnVIJ1odRyF2JJLIlS5,Angie - Live Licks Tour - 2009 Re-Mastered Digital Version,Live Licks,2004-11-01,36,0.18913500000000003,0.6830231900000001
4B9Mt7tJXONfDEQkMWv3Fa,(I Can't Get No) Satisfaction - Live Licks Tour / Remastered 2009,Live Licks,2004-11-01,36,0.1537,0.8917795846666666
79v8Rj7F66Iz3n6GGdSWyB,Gimme Shelter - Live Licks Tour - 2009 Re-Mastered Digital Version,Live Licks,2004-11-01,36,0.09071,0.6691061208
2JDgTnSv5JU4brzsNtITi8,Under The Boardwalk,12 X 5,1964-10-17,35,0.41687899999999994,0.10846529499999999
5uAiJO2YixjY3LtkIK3FUJ,Around And Around,12 X 5,1964-10-17,35,0.236799,0.14025487679999996
1g7NuHCYVpOhRSCL6ujZOG,Blue And Lonesome,Blue & Lonesome,2016-12-02,35,0.202554,0.2760696668333333
5d48Ugz3zU2qfKdgKk4tL5,I Can't Quit You Baby,Blue & Lonesome,2016-12-02,35,0.055760000000000004,0.043572742695
43SkTJJ2xleDaeiE4TIM70,Walking The Dog,The Rolling Stones,1964-04-16,35,0.704463,0.07755321895000002
5tSTWhMTSGAvbJsyUP79kf,Too Much Blood - Remastered,Undercover (2009 Re-Mastered),1983-11-07,35,0.283568,0.046811262345
2aVmwPRiY1DQMPpudL6wuF,Going Home,Aftermath,1966-04-15,35,0.236,0.09047932870000001
1nBufEoW7UXvQWgqmNl6Kx,Neighbours - Remastered,Tattoo You (2009 Re-Mastered),1981-08-24,35,0.327129,0.26714141999999996
3075GFD8j1WFyF1pUGbAuh,Think,Aftermath,1966-04-15,35,0.370872,0.08668728
5hFOnphtpYkLqWHWl8TaIH,Can't You Hear Me Knocking - 2009 Mix,Sticky Fingers (Deluxe),1971-04-23,35,0.38913000000000003,0.11056641066666667
1OBlQXdm2yQ2AjtpDhM7yc,Flight 505,Aftermath,1966-04-15,35,0.48955199999999993,0.1149747872
5lgfWxatYUKXvQEE1oTGDE,It Hurts Me Too,Jamming With Edward,1972-01-07,35,0.18711000000000003,0.024672173399999997
3VGzWMIxl4zuArW043WSGf,Sympathy For The Devil - Live,Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),1970-09-04,35,0.43907599999999997,0.6222693121166666
