id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1sRuWDg7BRBs8Jq5FmMNyA,0.459,0.429,0.683,0.462,0.272,-5.046,0.0327,75.68,0.277
5hWH3pUZccd9fiDvR19GJl,0.23,0.563,0.802,0.667,0.534,-4.496,0.0311,124.123,0.777
3RZSaVu065GXm9CUZE3ixN,0.0149,0.886,0.565,0.00378,0.0565,-10.818,0.0629,105.423,0.896
2IEkywLJ4ykbhi1yRQvmsT,0.0824,0.463,0.993,0.996,0.932,-12.913,0.11,118.001,0.0302
2LBI6nQa32PRfRoH4Lrkod,0.16,0.663,0.689,4.71e-05,0.334,-11.904,0.0499,86.588,0.556
2EbjXvnFwgt4Td3xKZZzTb,0.0128,0.267,0.962,0.689,0.988,-3.838,0.117,160.804,0.347
3ZpTSIpuTsQqRPzZmS7yzb,0.147,0.486,0.451,0.000541,0.295,-10.86,0.033,69.393,0.24
6EePCjbtiMeb783pduiEJK,0.0492,0.552,0.489,0.00725,0.169,-13.629,0.0417,114.052,0.754
1M0sZg74hJ9Le1u00oYg9X,0.453,0.475,0.648,0.0,0.246,-6.889,0.0286,78.393,0.387
1o2wswWx1RkkNuVp6Z21HC,0.0688,0.695,0.684,0.000257,0.0981,-9.968,0.133,99.014,0.427
